,country_code,o3,pm10,pm25,so2,co2,country,gdp_per_capita,che_per_capita_usd,both_sex_life_exp,fem_life_exp,male_life_exp,poverty_rate,cig_percent
29,FI,71.02657113899414,14.81881163566942,3.5758208393238498,1.7663754222222223,7.879275828,Finland,47096.0,4291.0,81.41,83.945,78.845,12.2,19.7
30,FR,68.02769757216593,17.778589743589745,9.060784588754924,3.241324575147644,4.632734832,France,44586.0,4410.0,82.195,84.905,79.375,13.6,34.6
31,GB,59.71799979923206,17.055637541317488,8.757610502904278,3.012320546904671,5.6334734528,United Kingdom,46270.0,4181.0,81.025,82.66499999999999,79.36000000000001,18.6,19.2
35,GR,69.45604855588113,31.280903854674346,13.399641577060931,6.215400100654253,6.0708288891999995,Greece,28789.0,1535.0,80.74,83.255,78.245,17.9,39.1
38,HR,75.26259673258814,18.84493198771391,11.245843045843046,5.7009622406639,4.0593529973999996,Croatia,27102.0,5488.0,78.11,81.16499999999999,74.92,18.3,36.6
39,HU,59.926548506638206,18.474189011399943,12.614601087155346,3.6379159635239144,4.6307593514,Hungary,29785.0,5965.0,76.005,79.16,72.625,12.3,30.6
41,IE,64.48425720607459,12.614294492948718,7.568328645938603,2.809887835050879,7.7772983302,Ireland,78357.0,5039.0,81.49000000000001,83.20500000000001,79.765,13.1,23.6
43,IN,37.38329513155809,150.1225918321492,65.86189289323003,206.72061901258593,1.7103377068,India,6146.0,3808.0,70.05000000000001,71.39500000000001,68.815,21.9,27.0
46,IT,75.70319986661193,19.5026321997923,17.30112402675732,3.4112023514172938,5.437493715,Italy,41484.0,2820.0,82.59,84.58000000000001,80.455,20.1,23.4
54,LT,58.9202989392668,19.88952468162706,8.705529946728111,5.837023281666666,4.0078073164,Lithuania,33810.0,4557.0,75.185,79.95,70.16,20.6,27.1
55,LU,73.62185929648241,24.767023718439173,10.578490566037736,2.7471186440677964,15.392659431999999,Luxembourg,115204.0,5811.0,82.36,84.245,80.44,17.5,21.7
56,LV,73.28275381483871,16.064796904900064,6.1086111117333335,5.393933633609577,3.8027786854,Latvia,28775.0,5623.0,75.09,79.565,70.255,22.9,36.7
61,MN,28.25,181.9777777777778,22.04951923076923,39.55072463768116,6.4210208488000005,Mongolia,11571.0,1621.0,67.85499999999999,72.445,63.635000000000005,28.4,27.6
62,MT,87.91419846889953,25.006371304347827,12.49305583126551,0.4407134491017964,3.2868076082,Malta,42058.0,2562.0,81.77000000000001,83.69,79.785,17.1,25.1
63,MX,0.0427699819551765,55.97351775532364,23.6734756126706,0.004551982100683669,3.7800691017999997,Mexico,19627.0,5298.0,75.94,78.735,73.11,41.9,13.9
65,NL,63.27434110912784,19.919957526794267,10.700019568178043,0.9675372875476933,8.982917632,Netherlands,54951.0,5007.0,81.535,82.985,80.035,13.6,23.4
66,NO,68.61860305846967,14.991138675700013,5.117164406043493,15.907760806290565,7.192490953000001,Norway,63774.0,7831.0,82.315,83.91999999999999,80.67,12.7,13.0
68,PE,1.831829174852652,75.4106064618644,39.87726043099495,6.133965144318597,1.7487341881999998,Peru,12531.0,3369.0,79.49000000000001,80.95,78.005,20.2,9.6
71,PL,68.23112043221806,23.861777790476427,12.732698061607287,5.272761131532787,7.946330187199999,Poland,30281.0,5767.0,77.78,81.54,73.945,15.4,26.0
72,PT,75.90731133462737,18.284254751060153,6.011617231638419,5.059590491880442,4.773130839399999,Portugal,32999.0,2020.0,81.22999999999999,84.035,78.24000000000001,17.2,27.9
73,RO,60.64523475406311,26.80076239288321,9.731442864720641,13.925390098182568,3.7601191216,Romania,26913.0,5798.0,75.195,78.84,71.61500000000001,23.8,25.5
74,RS,79.52737777626193,20.473075176837728,12.074813765603329,8.655347979680696,6.593463471,Serbia,16826.0,4349.0,75.53999999999999,78.02000000000001,73.07499999999999,23.2,40.6
79,SE,68.48290696755784,16.042179535768067,5.027305936664785,1.3485714222222223,3.7316868554000004,Sweden,51882.0,5755.0,82.075,83.735,80.4,17.1,8.0
84,TH,0.023427592660673104,37.04307295987425,18.503240417622173,0.0023539396773439324,3.6941490648,Thailand,17408.0,2091.0,77.555,80.87,74.245,9.9,22.8
90,US,0.03619598592720631,26.410466994685116,6.468227580080074,0.0006549538425075658,15.085827858000002,United States,60396.0,9937.0,78.53,80.765,76.295,17.8,25.1
94,ZA,0.020323783226119677,40.27532480270061,22.661500299907303,0.00667357947845805,7.5945405528,South Africa,13871.0,5238.0,63.91,66.815,61.010000000000005,55.5,31.4
