plant_name,FIPS,plant_county,plant_state,latitude,longitude,fuel_type,nameplate_capacity_MW,net_generation_MWh,NOx_tons,SO2_tons,CO2_tons,CH4_lbs,N2O_lbs,PM2.5_tons
Hudson Avenue,36047,Kings,New York,40.7052,-73.9807,Oil,108.9,648,20.682,2.747,1769.285,71.966,14.393,0.646640458
Narrows Generating Station,36047,Kings,New York,40.648611,-74.020833,Gas,352,37090,253.001,0.187,54357.96,1413.958,141.396,7.153884199
Ravenswood Generating Station,36081,Queens,New York,40.759167,-73.946111,Gas,2956.9,2298704,361.296,30.615,1250144.153,46482.696,4817.904,87.80786155
59th Street,36061,New York,New York,40.771285,-73.99115,Gas,17.1,119,1.469,0.001,110.928,4.032,0.403,0.007416853
74th Street,36061,New York,New York,40.768,-73.9515,Oil,37,316,11.805,1.217,790.475,31.879,6.376,0.224788842
E F Barrett,36059,Nassau,New York,40.616689,-73.647881,Gas,687.2,1423779.999,810.32,40.162,974521.645,36633.893,3800.563,23.28851612
East Hampton Facility,36103,Suffolk,New York,40.961706,-72.210277,Oil,27.3,14462.999,41.106,42.41,13426.774,1278.501,255.7,0.534163277
Glenwood,36059,Nassau,New York,40.827149,-73.647473,Oil,338,598,4.215,0.008,1183.3,118.388,23.678,0.021885373
Northport,36103,Suffolk,New York,40.923565,-73.342323,Gas,1564,2029121,667.197,251.691,1360240.278,52978.941,5866.251,95.28434512
Port Jefferson Energy Center,36103,Suffolk,New York,40.949696,-73.078507,Gas,590,300379,103.073,43.632,228965.771,8626.276,973.162,16.28253699
Shoreham,36103,Suffolk,New York,40.96159,-72.864976,Oil,71.5,944,7.899,4.455,1440.86,116.695,23.339,0.152261673
South Hampton,36103,Suffolk,New York,40.899997,-72.381977,Oil,11.5,2104,23.46,13.203,4269.907,345.82,69.164,0.451218865
Southold,36103,Suffolk,New York,41.1059,-72.3761,Oil,14,1725,17.147,9.65,3120.992,252.769,50.554,0.329808224
West Babylon Facility,36103,Suffolk,New York,40.695485,-73.348573,Oil,52.4,2968,18.321,0.028,3649.7,291.136,58.227,0.122126763
Greenidge Generation LLC,36123,Yates,New York,42.6789,-76.9483,Gas,162,55675,7.93,0.202,39405.797,1418.041,141.804,2.156046348
Harris Lake,36031,Essex,New York,43.9719,-74.1861,Oil,4.2,1,5.667,0.501,282.472,22.877,4.575,0.536144849
"Cayuga Operating Company, LLC",36109,Tompkins,New York,42.6028,-76.6336,Coal,322.5,82107,136.789,344.914,107935.898,24518.651,3570.352,0.02688854
Bethlehem Energy Center (Albany),36001,Albany,New York,42.594196,-73.763752,Gas,1293.1,4544459,107.988,9.463,1874467.219,70496.232,7049.623,148.3957202
Oswego Harbor Power,36075,Oswego,New York,43.4586,-76.5319,Oil,1895.6,16813,43.834,94.999,36632.133,2617.319,515.431,2.372599899
Bowline Generating Station,36087,Rockland,New York,41.2044,-73.9689,Gas,1992,286744.06,178.23,9.695,194104.992,7061.178,706.118,10.92589768
Hillburn,36087,Rockland,New York,41.1269,-74.1653,Gas,46.5,305,1.21,0.002,326.373,10.322,1.032,0.022311112
Shoemaker,36071,Orange,New York,41.4278,-74.4186,Gas,41.9,1117,5.54,0.006,1162.666,39.339,3.934,0.074652491
Plant No 1 Freeport,36059,Nassau,New York,40.6561,-73.5922,Oil,16.2,65,1.249,0.109,61.248,4.96,0.992,0.11625
Freeport Power Plant No. 2,36059,Nassau,New York,40.6447,-73.5683,Gas,97.8,13823,1.165,0.053,8428.95,337.385,38.002,0.109925051
Greenport,36103,Suffolk,New York,41.1055,-72.3758,Oil,10.1,29,0.671,0.065,36.421,2.95,0.59,0.069129846
S A Carlson,36013,Chautauqua,New York,42.0933,-79.2478,Gas,96.3,162608,95.664,0.441,87427.303,3251.237,325.124,0.475530988
Charles P Keller,36059,Nassau,New York,40.658333,-73.640556,Gas,33.8,-965.999,11.783,0.015,814.717,51.914,8.369,0.00294134
Asheville,37021,Buncombe,North Carolina,35.4731,-82.5417,Coal,1425.1,1314004,775.8,711.37,1528007.75,318681.857,46151.734,201.4700301
Blewett,37007,Anson,North Carolina,34.9833,-79.8775,Oil,94.6,-955.999,4.341,1.81,585.6,32.858,6.572,0.085809822
H F Lee Steam Electric Plant,37191,Wayne,North Carolina,35.373611,-78.089444,Gas,2556.1,6788723,950.988,14.714,2909628.321,3974.684,457.796,154.5077279
Roxboro,37145,Person,North Carolina,36.4833,-79.0731,Coal,2574.5,6947067,4885.631,4141.555,7446011.438,1767914.677,257268.969,601.452555
L V Sutton,37129,New Hanover,North Carolina,34.283056,-77.985278,Gas,1613.9,4620495,603.128,9.944,1970705.957,74357.235,7436.067,165.6578939
W H Weatherspoon,37155,Robeson,North Carolina,34.587538,-78.97552,Oil,328.5,-118,14.764,6.153,1992.9,99.44,19.888,0.097126483
G G Allen,37071,Gaston,North Carolina,35.1897,-81.0122,Coal,1148.4,895019,1346.302,147.794,1058539.508,252063.105,36698.071,113.8190529
Buck,37159,Rowan,North Carolina,35.7133,-80.3767,Gas,1172.3,4392284,129.734,9.206,1823567.25,68982.2,6898.22,86.83591551
Cliffside,37045,Cleveland,North Carolina,35.22,-81.7594,Coal,2540.5,6368172,2485.897,1382.504,5746916.5,1213829.446,175420.263,264.6751992
Dan River,37157,Rockingham,North Carolina,36.4862,-79.7208,Gas,1085.7,4394833,267.253,9.476,1877016.938,69606.774,6960.677,287.4118691
Marshall,37035,Catawba,North Carolina,35.5975,-80.9658,Coal,2119,7786940,8751.009,4877.95,8085333,1824671.302,265485.534,303.6037197
Buxton,37055,Dare,North Carolina,35.267222,-75.534722,Oil,15,549,11.545,1.041,586.665,47.514,9.503,1.113520038
R M Heskett,38059,Morton,North Dakota,46.8669,-100.8836,Coal,291,439440,958.171,1104.891,512396.858,146442.788,21198.067,117.0701174
Jamestown,38093,Stutsman,North Dakota,46.905665,-98.662183,Oil,48.2,457,6.31,3.731,1206.814,97.74,19.548,0.127529068
Leland Olds,38057,Mercer,North Dakota,47.280769,-101.321213,Coal,656,3605405,4979.354,2037.439,4538457.125,1027417.477,149446.342,1292.861037
Milton R Young,38065,Oliver,North Dakota,47.065854,-101.213093,Coal,734,4705187,8597.716,2657.618,5609127,1324889.043,192756.311,1147.489455
Cardinal,39081,Jefferson,Ohio,40.2522,-80.6486,Coal,1880.4,9640233,16761.704,9547.625,10241901.33,2311618.922,336368.018,4137.656426
"Dynegy Dicks Creek, LLC",39017,Butler,Ohio,39.465,-84.3778,Gas,159.1,5244.999,56.161,0.049,9377.963,170.664,17.066,0.153659759
Miami Fort Power Station,39061,Hamilton,Ohio,39.1128,-84.8036,Coal,1444,6974467,11359.347,14396.506,6998221.25,1733657.745,252243.581,1043.594642
Avon Lake Power Plant,39093,Lorain,Ohio,41.504453,-82.054619,Coal,873.1,443676,609.004,1597.605,470747.839,121232.894,17657.643,508.2035398
Eastlake,39085,Lake,Ohio,41.6711,-81.4425,Oil,1289,129,8.064,3.36,1097.549,15.523,3.105,0.028
Conesville,39031,Coshocton,Ohio,40.1842,-81.8811,Coal,2174.8,2310697,1014.664,2266.046,2751559.481,598466.97,87080.942,2962.636249
Tait Electric Generating Station,39113,Montgomery,Ohio,39.727249,-84.211084,Gas,680.6,856350.999,402.811,9.039,630392.494,24583.58,2463.383,38.68148561
O H Hutchings,39113,Montgomery,Ohio,39.6088,-84.2921,Gas,446.6,-630,0.311,0,51.852,54.445,5.488,0.003466929
Monument,39113,Montgomery,Ohio,39.7667,-84.1739,Oil,13.5,152,2.235,0.192,107.96,8.744,1.749,0.204909995
Sidney (OH),39149,Shelby,Ohio,40.27917,-84.19097,Oil,13.5,194,3.355,0.288,161.935,13.115,2.623,0.307365005
Yankee Street,39113,Montgomery,Ohio,39.603,-84.2047,Gas,126.6,6413.999,14.338,0.154,5645.743,213.712,21.483,0.264847887
