cnty_fips,display_name,Value
35045,"""San Juan, (NM)""",182.3
35051,"""Sierra, (NM)""",221.4
35053,"""Socorro, (NM)""",206.9
35061,"""Valencia, (NM)""",204.2
41023,"""Grant, (OR)""",193.4
41025,"""Harney, (OR)""",209.9
41045,"""Malheur, (OR)""",223
49001,"""Beaver, (UT)""",272.7
49003,"""Box Elder, (UT)""",237.5
49005,"""Cache, (UT)""",181.9
49007,"""Carbon, (UT)""",212.2
49009,"""Daggett, (UT)""",181.2
49011,"""Davis, (UT)""",208.5
49013,"""Duchesne, (UT)""",200.9
49015,"""Emery, (UT)""",263.6
49017,"""Garfield, (UT)""",208.7
49019,"""Grand, (UT)""",186.4
49021,"""Iron, (UT)""",167.7
49023,"""Juab, (UT)""",200.9
49025,"""Kane, (UT)""",197.6
49027,"""Millard, (UT)""",176.2
49029,"""Morgan, (UT)""",198.5
49031,"""Piute, (UT)""",238
49033,"""Rich, (UT)""",171.3
49035,"""Salt Lake, (UT)""",193.8
49037,"""San Juan, (UT)""",146.9
49039,"""Sanpete, (UT)""",193.8
49041,"""Sevier, (UT)""",233.4
49043,"""Summit, (UT)""",156.2
49045,"""Tooele, (UT)""",208.7
49047,"""Uintah, (UT)""",218.2
49049,"""Utah, (UT)""",200.3
49051,"""Wasatch, (UT)""",181.8
49053,"""Washington, (UT)""",152.8
49055,"""Wayne, (UT)""",188.3
49057,"""Weber, (UT)""",219.8
56003,"""Big Horn, (WY)""",228.1
56007,"""Carbon, (WY)""",188.5
56013,"""Fremont, (WY)""",203.4
56017,"""Hot Springs, (WY)""",204.9
56023,"""Lincoln, (WY)""",187.4
56025,"""Natrona, (WY)""",197.6
56029,"""Park, (WY)""",195.3
56035,"""Sublette, (WY)""",162.6
56037,"""Sweetwater, (WY)""",204.1
56039,"""Teton, (WY)""",118.9
56041,"""Uinta, (WY)""",221.3
56043,"""Washakie, (WY)""",207.3
22031,"""De Soto, (LA)""",260.8
48001,"""Anderson, (TX)""",324.2
48005,"""Angelina, (TX)""",295.8
48007,"""Aransas, (TX)""",234.6
48013,"""Atascosa, (TX)""",239.3
48015,"""Austin, (TX)""",216.6
48019,"""Bandera, (TX)""",214.9
48021,"""Bastrop, (TX)""",224.7
48025,"""Bee, (TX)""",291.6
48027,"""Bell, (TX)""",217.4
48029,"""Bexar, (TX)""",228.4
48031,"""Blanco, (TX)""",180.4
48035,"""Bosque, (TX)""",248.7
48039,"""Brazoria, (TX)""",225.9
48041,"""Brazos, (TX)""",214.9
48043,"""Brewster, (TX)""",171.4
48047,"""Brooks, (TX)""",247.3
48049,"""Brown, (TX)""",277.6
48051,"""Burleson, (TX)""",315.2
48053,"""Burnet, (TX)""",208.4
48055,"""Caldwell, (TX)""",231
48057,"""Calhoun, (TX)""",226.6
48061,"""Cameron, (TX)""",189.4
48071,"""Chambers, (TX)""",263.4
48073,"""Cherokee, (TX)""",287.8
48081,"""Coke, (TX)""",228.9
48083,"""Coleman, (TX)""",277.8
48089,"""Colorado, (TX)""",252.4
48091,"""Comal, (TX)""",207.6
48093,"""Comanche, (TX)""",274.7
48095,"""Concho, (TX)""",230.5
48099,"""Coryell, (TX)""",237.4
48103,"""Crane, (TX)""",249
48105,"""Crockett, (TX)""",274.5
48109,"""Culberson, (TX)""",220.3
48123,"""DeWitt, (TX)""",259.6
48127,"""Dimmit, (TX)""",207.3
48131,"""Duval, (TX)""",241.2
48135,"""Ector, (TX)""",269.5
48137,"""Edwards, (TX)""",213.1
48141,"""El Paso, (TX)""",187.7
48145,"""Falls, (TX)""",242.6
48149,"""Fayette, (TX)""",238.9
48157,"""Fort Bend, (TX)""",173
48161,"""Freestone, (TX)""",250
48163,"""Frio, (TX)""",260.1
48167,"""Galveston, (TX)""",233.3
48171,"""Gillespie, (TX)""",189.2
48173,"""Glasscock, (TX)""",213.7
48175,"""Goliad, (TX)""",233.6
48177,"""Gonzales, (TX)""",226.6
48185,"""Grimes, (TX)""",235.1
48187,"""Guadalupe, (TX)""",207.4
48193,"""Hamilton, (TX)""",234.3
48199,"""Hardin, (TX)""",290.1
48201,"""Harris, (TX)""",211.3
48209,"""Hays, (TX)""",175.3
48215,"""Hidalgo, (TX)""",182
48217,"""Hill, (TX)""",252.3
48225,"""Houston, (TX)""",274.7
48229,"""Hudspeth, (TX)""",188.3
48235,"""Irion, (TX)""",223.7
48239,"""Jackson, (TX)""",255.8
48241,"""Jasper, (TX)""",316
48243,"""Jeff Davis, (TX)""",184
48245,"""Jefferson, (TX)""",306.3
48247,"""Jim Hogg, (TX)""",210.9
48249,"""Jim Wells, (TX)""",321.2
48255,"""Karnes, (TX)""",290.5
48259,"""Kendall, (TX)""",204.8
48261,"""Kenedy, (TX)""",190.7
48265,"""Kerr, (TX)""",198.6
48267,"""Kimble, (TX)""",201.3
48271,"""Kinney, (TX)""",210.5
48273,"""Kleberg, (TX)""",307.7
48281,"""Lampasas, (TX)""",219.1
48283,"""La Salle, (TX)""",195.7
48285,"""Lavaca, (TX)""",233.9
