FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
40059,5.9,58000.0,7.3,80.5,16.5,6.3,40.0,37.2,24.1,25.4,10.5,19.7,2.5
40061,9.3,41000.0,7.7,84.5,15.0,20.6,44.1,38.6,25.4,22.7,19.4,24.2,5.2
40063,8.5,39000.0,9.9,85.2,17.3,17.2,42.7,37.0,23.9,25.9,21.4,25.6,5.2
40065,6.8,57000.0,8.7,77.8,14.3,16.0,34.5,33.8,25.4,27.0,15.0,19.0,2.8
40067,7.6,43000.0,8.0,84.5,16.9,21.1,44.7,39.8,23.0,22.3,17.8,23.1,4.0
40069,8.1,45000.0,8.3,77.3,14.0,18.4,42.4,38.6,23.1,21.9,18.3,22.5,4.6
40071,7.2,50000.0,9.7,80.7,11.6,20.7,40.6,38.8,29.6,30.3,15.3,21.1,4.3
40073,7.9,71000.0,9.2,76.8,10.8,7.7,37.5,36.5,32.7,26.4,9.0,18.6,2.6
40075,6.9,40000.0,8.5,81.9,14.9,21.8,43.7,39.4,24.5,25.2,18.0,22.9,3.3
40077,8.9,41000.0,9.5,84.6,12.7,9.6,43.6,38.2,22.9,25.3,15.9,23.1,7.3
40079,9.9,41000.0,10.6,84.3,15.5,22.8,43.8,39.0,34.8,35.1,18.1,24.6,4.7
40081,8.5,57000.0,9.6,85.4,11.8,8.3,41.7,38.7,39.9,25.3,13.8,21.7,3.5
40083,8.3,73000.0,9.9,70.7,8.9,10.2,37.6,34.9,29.1,22.6,11.0,17.8,3.3
40085,8.1,54000.0,7.8,86.6,16.2,12.8,40.7,37.5,21.4,22.5,11.7,22.7,2.6
40087,8.4,69000.0,8.2,74.6,10.6,10.0,37.6,36.6,31.8,29.6,10.4,19.0,3.1
40089,9.1,45000.0,10.7,85.6,17.2,24.8,45.9,38.0,30.6,32.6,18.9,25.3,4.4
40091,9.1,38000.0,9.6,86.9,12.5,23.3,48.4,41.8,32.0,28.0,22.5,24.3,6.1
40093,7.2,55000.0,8.4,79.9,9.8,7.8,39.0,38.0,24.1,20.8,11.5,18.6,3.1
40095,8.2,51000.0,9.2,84.8,19.0,14.1,41.9,38.9,31.7,23.8,13.7,21.8,3.7
40097,9.4,51000.0,10.9,85.5,12.5,17.2,42.9,38.4,30.1,29.0,16.9,24.5,3.7
40099,8.0,55000.0,7.9,81.5,15.1,12.3,41.7,38.3,26.6,21.2,14.3,22.1,3.9
40101,9.6,43000.0,11.4,80.2,13.8,23.3,42.5,36.8,40.2,28.8,18.2,23.1,4.3
40103,8.0,57000.0,9.1,78.2,9.4,10.7,40.7,38.1,25.6,24.2,11.8,19.6,2.5
40105,8.8,46000.0,8.6,86.5,10.1,26.2,43.2,38.3,26.0,22.6,16.5,23.7,3.5
40107,8.7,46000.0,9.6,88.6,18.5,20.4,45.0,37.7,26.4,25.4,21.7,28.1,4.9
40109,8.4,55000.0,10.7,66.9,12.0,15.6,33.5,32.4,32.3,27.6,15.2,17.9,4.1
40111,9.2,50000.0,8.8,85.8,12.5,21.4,43.6,36.8,30.7,29.6,14.6,23.6,5.2
40113,9.7,50000.0,9.2,80.7,10.5,9.0,44.3,38.4,31.2,26.6,13.0,21.4,4.2
40115,8.8,40000.0,9.9,84.7,14.2,22.0,42.5,36.9,34.8,26.5,18.5,24.8,3.2
40117,8.7,52000.0,9.0,82.3,10.4,18.9,42.4,38.9,29.3,24.6,15.7,21.7,4.1
40119,8.5,40000.0,9.2,62.2,8.0,10.8,30.8,30.0,33.2,24.6,20.1,17.8,3.2
40121,7.7,50000.0,9.2,81.7,13.2,15.8,41.3,38.0,26.9,27.0,16.5,23.8,5.2
40123,8.2,51000.0,11.0,71.2,10.7,16.5,36.6,34.9,31.0,28.1,14.4,19.7,3.3
40125,8.4,50000.0,12.3,80.6,11.4,22.0,41.0,36.5,34.3,32.9,16.0,22.2,3.9
40127,8.5,39000.0,8.5,85.3,15.0,17.6,45.5,40.4,24.1,24.0,17.4,24.7,4.2
40129,6.0,51000.0,6.7,82.1,9.0,8.6,43.2,39.0,21.5,20.3,13.5,20.6,2.9
40131,9.9,67000.0,9.9,75.7,7.6,8.4,38.7,37.7,37.2,26.8,8.5,18.6,3.5
40133,8.4,42000.0,9.6,85.6,15.6,25.4,43.7,38.5,28.5,32.8,21.2,26.1,5.1
40135,8.3,47000.0,9.9,86.2,17.8,19.3,44.2,37.8,27.2,32.8,16.9,26.7,4.3
40137,7.7,53000.0,9.5,81.6,12.3,16.7,41.3,36.3,32.7,31.9,17.7,21.2,4.5
40139,6.1,61000.0,8.2,73.6,24.6,10.3,34.6,33.4,29.4,25.7,11.1,19.3,1.8
40141,7.0,42000.0,8.8,83.5,21.6,19.9,43.5,39.0,25.9,25.8,21.9,21.6,4.2
40143,9.5,59000.0,10.3,68.0,10.1,12.3,34.8,34.0,33.5,27.9,12.8,18.2,4.0
40145,10.0,66000.0,12.3,76.2,9.3,9.1,39.0,36.7,34.4,29.0,10.2,18.8,3.5
40147,9.0,48000.0,9.0,71.2,9.0,25.7,39.2,34.4,34.7,26.1,14.8,19.4,3.8
40149,7.0,51000.0,7.9,79.7,10.7,14.4,39.5,37.6,26.7,24.4,14.7,19.3,4.3
40151,6.8,53000.0,7.8,70.6,12.4,7.0,34.2,32.1,30.9,26.9,15.1,18.2,2.1
40153,6.3,54000.0,9.6,80.6,11.6,9.6,36.6,33.9,30.4,27.1,13.3,20.1,4.2
46003,5.2,55000.0,8.3,79.7,11.4,2.9,31.2,32.1,22.8,18.8,10.2,16.2,2.4
46005,5.4,54000.0,7.5,76.5,15.3,12.8,32.3,32.2,28.3,24.5,12.6,17.9,2.8
46007,3.6,45000.0,11.4,77.6,15.3,37.5,36.3,30.1,37.4,29.7,28.3,28.5,4.3
46009,5.9,53000.0,8.1,79.7,12.2,4.5,33.1,31.5,23.5,20.0,15.0,20.1,2.8
46011,4.5,65000.0,7.7,57.8,3.6,4.1,22.3,23.4,29.8,21.4,9.9,12.0,3.2
46015,5.0,57000.0,7.3,73.5,10.0,8.0,33.3,32.7,25.8,25.3,13.7,17.4,2.5
46017,4.8,23000.0,10.8,91.9,22.1,41.5,34.8,28.6,26.4,25.5,32.8,35.7,5.4
46023,5.6,45000.0,8.3,79.8,12.2,18.1,36.4,33.1,24.1,21.5,24.0,21.8,3.7
46027,6.4,50000.0,8.0,51.1,6.2,7.4,22.4,24.1,19.0,21.3,16.2,14.4,3.0
46033,1.9,67000.0,9.3,76.8,6.3,4.2,40.1,37.0,25.8,22.4,9.7,16.2,4.0
46035,5.6,54000.0,7.8,74.0,9.0,8.3,30.8,31.2,27.5,21.1,10.7,17.2,2.8
46043,5.4,59000.0,7.2,81.8,11.0,4.0,35.0,34.2,22.1,20.8,11.8,16.7,2.5
46047,3.2,49000.0,8.3,80.3,9.0,7.8,39.3,36.9,30.6,20.8,15.4,18.7,4.0
46053,4.9,43000.0,8.7,78.5,8.9,9.2,37.8,35.9,23.8,22.5,15.1,17.9,2.8
46055,3.8,51000.0,7.7,83.6,6.1,2.8,38.4,35.3,23.8,25.8,11.7,19.3,2.8
46059,5.0,59000.0,7.1,77.6,6.5,3.5,34.4,34.3,25.2,22.0,9.1,14.9,2.5
46061,5.6,63000.0,8.0,83.9,7.7,2.6,29.9,31.4,23.5,21.9,10.4,18.2,4.0
46065,4.3,71000.0,7.5,63.4,4.4,8.3,29.8,30.5,24.2,20.4,9.4,15.7,2.4
46067,5.9,55000.0,7.2,77.1,11.0,4.0,33.8,33.3,27.7,22.2,12.8,16.8,3.1
46069,4.7,56000.0,8.1,77.3,7.0,1.8,35.1,33.9,22.2,20.8,11.5,15.1,2.6
46071,2.5,37000.0,10.0,84.9,15.7,26.4,39.4,32.9,30.2,32.2,28.7,30.2,4.4
46073,5.1,49000.0,7.1,78.7,9.3,2.3,34.6,34.0,22.2,20.3,14.4,15.6,2.2
46075,4.0,49000.0,7.1,70.8,3.5,4.2,34.6,34.0,22.3,19.6,14.9,15.4,3.4
46077,5.3,57000.0,7.8,76.6,7.9,4.4,33.9,34.2,24.5,22.1,10.2,15.4,2.9
46079,5.6,66000.0,7.6,66.9,9.0,4.3,32.1,32.6,22.3,20.9,9.9,15.2,3.0
46081,4.5,56000.0,6.4,65.0,6.0,7.0,31.3,31.6,24.1,19.0,11.5,16.8,3.0
46083,6.8,87000.0,7.4,63.3,4.5,2.1,26.2,28.7,28.2,21.8,4.5,14.1,2.4
46085,4.6,44000.0,8.6,76.9,10.2,17.2,34.9,32.1,21.2,21.1,23.9,23.0,4.4
46087,5.8,65000.0,7.9,75.4,10.4,4.8,31.8,32.5,24.7,19.7,9.6,16.1,2.8
46093,4.9,58000.0,7.8,73.9,4.9,4.6,29.0,27.3,28.3,24.5,8.7,17.0,3.0
46095,3.9,38000.0,10.0,86.8,18.0,30.7,37.5,30.8,28.8,28.9,29.9,31.8,4.5
46097,5.4,50000.0,7.4,79.9,9.0,4.6,34.0,33.3,22.7,20.0,12.6,17.1,3.1
46099,6.8,65000.0,8.3,66.4,7.0,8.3,28.3,29.0,33.0,23.8,8.1,15.7,2.9
46101,5.6,73000.0,7.2,74.7,7.7,5.2,33.0,31.7,28.3,20.6,9.4,17.4,2.8
46103,6.2,62000.0,7.8,68.3,6.4,10.3,32.7,33.5,27.4,28.0,12.1,17.3,3.2
46111,5.3,52000.0,8.1,80.4,7.3,4.3,32.7,32.9,24.4,23.4,13.7,17.9,3.0
46102,3.6,32000.0,17.6,88.9,26.3,51.6,33.8,26.8,41.4,20.7,38.1,39.8,8.7
46117,4.1,76000.0,7.0,71.5,4.9,3.5,30.8,31.9,23.4,18.2,7.5,14.7,3.0
46121,4.1,31000.0,15.2,86.3,20.2,48.1,36.0,28.5,36.2,26.3,42.5,41.1,4.8
46123,4.5,46000.0,7.5,79.3,10.9,13.4,36.4,34.4,25.8,19.9,19.3,20.2,2.4
46125,6.2,63000.0,8.5,73.7,7.2,5.9,33.0,33.3,23.2,24.8,8.8,16.3,2.7
46127,5.9,83000.0,7.2,69.7,6.2,3.2,30.3,31.9,29.5,17.6,5.9,15.2,3.6
46135,6.2,57000.0,7.0,73.3,9.6,7.3,32.0,31.5,30.5,20.2,10.4,16.9,2.7
48003,6.3,77000.0,7.3,85.1,23.3,8.7,29.3,31.6,21.8,19.7,9.2,18.2,5.9
48009,7.2,70000.0,7.6,77.7,9.5,6.9,37.3,38.3,22.8,18.0,6.9,18.1,4.2
48011,5.8,62000.0,7.1,74.3,8.9,6.2,39.1,39.7,22.0,19.5,9.3,15.9,3.6
48017,5.9,48000.0,7.0,82.6,22.1,12.7,31.7,33.7,22.0,19.1,14.4,16.1,4.9
48023,6.5,44000.0,7.1,79.0,12.6,14.6,38.9,38.5,21.9,19.5,15.3,17.9,3.4
48033,6.0,69000.0,7.3,54.8,6.7,5.6,37.0,38.7,21.7,19.0,7.5,11.8,2.4
48037,9.2,50000.0,8.5,78.1,10.5,15.6,38.4,35.0,22.8,22.5,17.4,19.9,5.8
48045,5.9,50000.0,7.2,82.5,14.6,9.2,41.5,39.4,21.9,19.4,13.4,19.8,4.7
48059,6.5,55000.0,8.0,77.6,11.4,11.5,38.9,38.9,22.2,18.7,12.2,18.5,4.6
48063,8.7,43000.0,7.8,78.1,12.3,16.9,37.8,35.9,23.9,19.7,16.7,18.8,5.9
48065,6.0,67000.0,7.4,72.1,5.8,5.1,36.9,37.8,24.0,20.7,8.3,16.3,3.9
48067,9.1,51000.0,7.2,81.7,13.1,16.7,43.4,39.4,21.0,20.0,17.7,21.0,6.7
48069,6.3,55000.0,7.4,83.6,24.6,12.6,33.9,35.1,22.3,19.7,15.3,16.4,3.5
48075,6.2,45000.0,7.4,81.2,15.8,11.5,32.1,31.6,22.0,19.4,21.4,19.9,3.6
48077,7.4,63000.0,8.2,76.4,9.1,7.7,39.0,39.0,23.1,21.6,11.1,17.4,4.9
48079,5.9,45000.0,7.4,91.8,29.8,19.0,38.2,36.8,22.1,19.8,19.2,22.4,6.3
48085,9.3,102000.0,7.5,46.8,6.1,3.7,28.9,33.8,26.0,18.6,6.2,12.2,4.3
48087,6.0,48000.0,7.3,77.7,24.7,14.4,36.6,36.4,21.9,19.4,16.9,20.5,4.3
48097,8.5,66000.0,7.2,78.2,12.6,10.8,35.4,36.4,21.5,18.6,11.3,18.2,5.0
48101,6.0,44000.0,7.3,81.1,18.9,14.5,44.7,40.8,21.5,19.6,17.9,21.0,4.6
48107,6.3,43000.0,7.3,85.1,23.8,22.0,38.5,37.1,21.9,19.3,19.8,19.0,5.6
48111,5.4,55000.0,7.2,83.0,31.9,7.9,31.6,33.3,21.9,19.4,11.1,22.7,2.6
48113,8.8,66000.0,9.6,67.5,19.7,12.8,30.1,30.8,27.6,24.3,13.7,16.5,5.6
48115,6.1,47000.0,7.3,85.5,28.4,14.2,35.8,34.9,21.9,19.5,18.7,21.5,7.0
48117,6.1,51000.0,7.1,88.0,27.3,14.1,32.0,33.1,21.9,18.9,15.5,18.0,3.7
48119,8.2,50000.0,7.4,78.4,12.6,12.0,39.3,38.3,22.0,19.5,14.3,19.5,4.9
48121,9.4,91000.0,8.8,54.2,7.2,4.5,29.0,31.9,29.7,22.4,6.9,13.3,4.4
48125,5.9,42000.0,7.3,81.4,19.8,10.5,38.9,37.3,22.0,19.6,18.9,19.3,5.1
48129,5.9,58000.0,7.3,81.9,10.5,9.7,38.9,38.2,22.4,19.4,16.3,16.9,4.1
48133,6.8,50000.0,7.0,80.8,14.8,13.7,39.2,38.3,22.3,19.0,17.0,19.9,5.8
48139,8.3,80000.0,10.2,74.7,13.4,8.3,31.8,33.0,27.8,24.4,7.9,16.9,4.5
48143,7.2,61000.0,7.2,67.0,12.8,7.2,30.7,31.3,21.8,20.4,12.6,16.3,4.5
48147,8.5,60000.0,7.4,82.1,14.4,10.0,36.9,36.8,21.7,18.8,15.4,20.5,4.0
48151,6.3,53000.0,7.1,79.7,11.1,10.4,40.0,39.1,23.1,19.4,13.3,16.4,4.2
48153,6.2,44000.0,7.2,84.3,24.8,20.2,36.0,36.2,22.4,19.7,17.7,17.5,5.8
48155,6.2,41000.0,7.2,87.2,18.8,10.7,42.5,40.9,22.2,20.1,16.8,19.3,3.4
48159,8.6,59000.0,7.1,69.7,9.4,10.8,36.4,37.4,22.0,19.1,12.9,15.2,4.4
