FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
48165,6.3,64000.0,7.5,89.6,38.2,7.3,31.3,32.7,23.2,20.3,11.1,22.0,4.6
48169,5.9,51000.0,7.4,87.7,35.0,9.7,31.0,31.6,22.2,19.6,20.6,20.2,5.0
48179,6.0,54000.0,7.7,84.9,20.3,13.0,36.1,35.9,23.3,19.8,14.2,20.8,6.7
48181,8.8,60000.0,8.4,79.4,10.4,10.6,36.4,36.1,26.1,18.7,13.6,18.0,4.6
48183,9.2,51000.0,8.2,78.8,15.4,14.9,37.6,34.8,22.1,20.0,18.1,19.8,6.5
48189,6.5,47000.0,7.3,82.8,25.1,16.4,31.9,33.2,21.7,18.5,17.6,18.1,6.1
48191,5.9,37000.0,7.2,81.7,18.9,18.1,42.5,39.7,21.7,19.9,18.6,19.7,5.4
48195,6.0,61000.0,7.2,76.8,28.5,5.1,35.8,35.5,22.9,19.3,10.7,18.9,3.0
48197,6.3,63000.0,7.4,83.7,18.5,12.3,39.7,38.5,23.4,20.9,15.0,19.2,4.3
48203,8.6,55000.0,9.0,79.7,13.6,14.5,39.5,35.9,22.2,20.2,15.6,20.0,6.6
48205,5.3,75000.0,7.3,78.9,15.8,2.1,32.7,34.3,22.2,19.3,9.5,17.4,2.1
48207,6.4,45000.0,7.3,83.3,25.9,15.0,40.3,38.9,21.8,20.0,20.0,21.0,3.9
48211,5.9,66000.0,7.2,79.4,17.7,4.7,32.2,34.3,22.5,19.9,9.5,16.9,4.3
48213,8.7,53000.0,9.8,81.7,15.1,13.6,40.2,39.3,27.2,25.3,14.2,20.3,5.1
48219,6.4,55000.0,7.1,84.3,24.4,11.8,33.1,34.2,23.3,19.3,12.9,18.4,6.0
48221,8.0,85000.0,8.1,70.7,9.0,7.8,38.0,38.9,26.9,17.6,9.4,15.8,5.2
48223,8.6,54000.0,7.9,78.7,15.1,11.8,36.9,36.3,22.8,20.2,12.7,19.5,4.3
48227,6.3,58000.0,7.4,86.6,19.9,10.3,33.4,33.2,23.0,19.8,15.7,20.2,6.5
48231,8.7,54000.0,8.8,79.6,14.4,11.9,35.5,35.3,26.0,20.8,12.6,19.4,5.1
48233,6.0,63000.0,7.1,84.6,13.8,10.6,36.0,36.3,23.8,19.0,12.1,18.8,6.0
48237,7.2,56000.0,7.3,85.5,18.9,9.7,36.2,35.7,21.9,19.4,13.6,22.0,5.5
48251,8.8,67000.0,10.3,80.5,14.2,9.6,33.8,35.3,34.0,25.8,9.5,19.2,4.9
48253,6.7,47000.0,7.4,88.2,21.0,9.6,35.3,34.3,21.7,19.6,19.5,21.4,6.2
48257,8.8,76000.0,8.8,79.8,14.2,9.7,31.8,32.4,26.5,21.4,9.2,18.3,4.9
48263,5.9,53000.0,7.2,67.2,6.5,7.9,39.6,39.8,22.1,19.0,11.3,13.6,2.9
48269,6.0,78000.0,7.1,86.5,21.6,0.7,39.6,39.0,22.1,19.4,12.4,26.6,0.9
48275,6.4,46000.0,7.3,81.2,19.3,13.0,39.1,37.9,22.2,19.0,16.3,18.5,4.7
48277,8.6,45000.0,9.3,81.3,13.9,15.0,39.6,37.2,24.4,27.9,19.6,20.4,5.5
48279,6.4,48000.0,7.0,87.4,24.2,16.4,37.5,36.4,23.1,19.9,17.6,19.8,5.0
48295,5.8,68000.0,7.4,76.4,17.4,6.1,34.9,36.2,21.6,18.9,11.3,17.0,3.7
48303,6.9,56000.0,8.0,68.0,12.8,12.6,30.7,31.5,28.1,21.3,15.8,15.8,4.5
48305,6.2,51000.0,7.3,79.3,21.3,14.3,37.8,37.1,22.1,19.2,14.4,19.6,4.3
48315,9.0,42000.0,7.6,83.3,13.9,18.9,47.2,41.9,22.0,20.2,20.0,20.9,6.9
48317,6.3,73000.0,7.2,80.6,21.1,9.9,31.0,33.2,21.9,19.3,11.1,17.7,4.8
48335,6.1,46000.0,7.5,87.9,15.2,10.4,32.7,33.0,22.2,19.6,18.7,19.0,7.1
48337,7.8,56000.0,7.2,82.6,13.3,10.6,40.0,39.1,22.9,20.1,12.4,19.5,5.1
48341,6.0,53000.0,7.4,85.8,34.6,9.0,31.5,33.0,22.1,19.2,10.6,18.4,3.3
48343,8.8,45000.0,7.8,85.9,8.9,18.1,42.1,38.0,21.9,19.8,17.0,20.6,10.5
48345,5.9,47000.0,7.5,83.3,11.3,10.7,41.1,40.5,22.2,19.4,16.3,16.4,5.1
48353,6.3,42000.0,7.4,84.9,17.4,16.2,36.8,36.7,22.2,19.7,17.2,19.5,4.8
48357,5.8,71000.0,7.1,83.3,25.7,6.9,32.5,33.2,21.6,19.5,9.2,19.6,4.6
48359,5.4,61000.0,7.2,73.2,8.3,3.8,34.6,35.9,22.0,19.7,14.0,17.5,3.5
48363,7.5,59000.0,8.3,81.9,12.3,11.9,38.0,37.9,22.7,19.7,13.9,19.3,5.7
48365,9.1,52000.0,7.4,84.4,16.0,13.6,40.5,38.1,21.1,19.7,15.3,20.5,6.7
48367,8.3,89000.0,7.5,73.3,11.0,6.4,33.7,35.5,28.0,20.8,8.0,17.6,4.4
48369,6.1,62000.0,7.2,84.9,25.9,7.3,33.9,34.7,22.4,19.0,12.2,17.4,2.9
48375,6.4,46000.0,7.7,84.6,22.8,17.5,34.8,33.5,23.8,20.9,20.8,21.7,4.3
48379,8.3,59000.0,7.3,84.7,17.0,10.9,41.1,40.4,22.6,19.2,13.6,19.8,3.9
48381,6.4,71000.0,7.2,69.1,7.0,6.2,30.6,33.3,29.3,23.7,9.6,15.9,3.5
48387,8.7,47000.0,9.4,84.3,11.0,13.9,45.0,40.4,22.4,22.6,15.7,20.8,5.9
