Incidence Rate Report for United States by County

"Thyroid (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"LaFourche Parish, Louisiana(7)",22057,10.5 ,6.9, 15.5,N/A , 1 , 17,5,*,*,*,*
"Berks County, Pennsylvania(6)",42011,10.5 ,8.7, 12.7,N/A , 3 , 37,24,rising,3.7 ,0.7, 6.9
"Bergen County, New Jersey(7)",34003,10.5 ,9.3, 11.9,N/A , 2 , 13,53,stable,-2.0 ,-5.5, 1.6
"Randall County, Texas(7)",48381,10.5 ,7.3, 14.7,N/A , 1 , 27,7,*,*,*,*
"Plymouth County, Massachusetts(7)",25023,10.5 ,8.8, 12.4,N/A , 1 , 8,30,rising,2.9 ,0.3, 5.5
"Pender County, North Carolina(6)",37141,10.5 ,5.9, 17.3,N/A , 1 , 28,3,stable,4.4 ,-0.8, 9.9
"Clinton County, Michigan(6)",26037,10.5 ,6.4, 16.3,N/A , 1 , 19,4,*,*,*,*
"Washington County, Pennsylvania(6)",42125,10.5 ,7.8, 13.8,N/A , 2 , 42,12,rising,4.3 ,0.9, 7.8
"Yellowstone County, Montana(6)",30111,10.5 ,7.5, 14.3,N/A , 1 , 3,8,stable,0.2 ,-3.4, 3.9
"Burlington County, New Jersey(7)",34005,10.5 ,8.7, 12.5,N/A , 1 , 14,27,rising,2.3 ,0.2, 4.5
"DuPage County, Illinois(7)",17043,10.5 ,9.2, 11.9,N/A , 3 , 10,52,rising,4.2 ,2.5, 5.8
"Sarpy County, Nebraska(6)",31153,10.5 ,7.6, 14,N/A , 1 , 3,9,rising,3.9 ,0.4, 7.4
"Belmont County, Ohio(6)",39013,10.5 ,6.4, 16.3,N/A , 1 , 42,4,*,*,*,*
"Camden County, New Jersey(7)",34007,10.5 ,8.7, 12.4,N/A , 1 , 14,27,stable,-10.6 ,-21.9, 2.2
